Sentence	entity_1	entity_2	entity_3	entity_4	json	split
Material and Methods Sites description Research was conducted at Fujia forest farm, Changtu County, northwest of Liaoning province ( 12332E12355E4253N4321N).	Fujia,65,70,place	Changtu County,84,98,place	northwest of Liaoning province,100,130,place	12332E12355E4253N4321N,133,155,place	"[{""token"": ""Fujia"", ""start_span"": 65, ""end_span"": 70, ""type"": ""place""}, {""token"": ""Changtu County"", ""start_span"": 84, ""end_span"": 98, ""type"": ""place""}, {""token"": ""northwest of Liaoning province"", ""start_span"": 100, ""end_span"": 130, ""type"": ""place""}, {""token"": ""12332E12355E4253N4321N"", ""start_span"": 133, ""end_span"": 155, ""type"": ""place""}]"	test
Sample collection Samples of microbial consortia involved in biogas production were collected from ( i) the fermenter tank of an agricultural two - stage biogas plant anaerobic digester ( AD) in Miedzyrzec Podlaski ( Poland) and ( ii) an effluent sludge tank from a one - stage wastewater treatment plant anaerobic digester ( WD) at MPWIK Pulawy ( Poland).	Miedzyrzec Podlaski,195,214,place	Poland,217,223,place	Pulawy,339,345,place	Poland,348,354,place	"[{""token"": ""Miedzyrzec Podlaski"", ""start_span"": 195, ""end_span"": 214, ""type"": ""place""}, {""token"": ""Poland"", ""start_span"": 217, ""end_span"": 223, ""type"": ""place""}, {""token"": ""Pulawy"", ""start_span"": 339, ""end_span"": 345, ""type"": ""place""}, {""token"": ""Poland"", ""start_span"": 348, ""end_span"": 354, ""type"": ""place""}]"	train
Materials and methods Sampling and inoculation Sediment samples were taken from the intertidal flat Janssand located in the Central German Wadden Sea south of the Eastern Friesian Island Spiekeroog.	Central German,124,138,place	Wadden Sea,139,149,place	south of the Eastern Friesian Island,150,186,place	Spiekeroog,187,197,place	"[{""token"": ""Central German"", ""start_span"": 124, ""end_span"": 138, ""type"": ""place""}, {""token"": ""Wadden Sea"", ""start_span"": 139, ""end_span"": 149, ""type"": ""place""}, {""token"": ""south of the Eastern Friesian Island"", ""start_span"": 150, ""end_span"": 186, ""type"": ""place""}, {""token"": ""Spiekeroog"", ""start_span"": 187, ""end_span"": 197, ""type"": ""place""}]"	train
Sediments were sampled from a range of water depths, and were distributed within four geologic provinces: the Abyssal Plain ( n = 66; average water depth = 3024m), the De Soto Valley ( n = 19; average water depth = 2143m), the Mississippi Canyon ( n = 12; average water depth = 982m), and the West Florida Shelf ( n = 14; average water depth = 942m).	Abyssal Plain,110,123,place	De Soto Valley,168,182,place	Mississippi Canyon,227,245,place	West Florida Shelf,293,311,place	"[{""token"": ""Abyssal Plain"", ""start_span"": 110, ""end_span"": 123, ""type"": ""place""}, {""token"": ""De Soto Valley"", ""start_span"": 168, ""end_span"": 182, ""type"": ""place""}, {""token"": ""Mississippi Canyon"", ""start_span"": 227, ""end_span"": 245, ""type"": ""place""}, {""token"": ""West Florida Shelf"", ""start_span"": 293, ""end_span"": 311, ""type"": ""place""}]"	train
Field Sites and Sampling A total of twenty - four cryoconite hole samples were collected in Queen Maud Land between the 31st of January and 8th of February in 2017 ( Figure 1 and Table 1) near the Utsteinen Nunatak ( Lake 2 and Lake 3), in Dubois and in Petrelnuten ( see Table 1 for GPS coordinates).	Queen Maud Land,92,107,place	Utsteinen Nunatak,197,214,place	Dubois,240,246,place	Petrelnuten,254,265,place	"[{""token"": ""Queen Maud Land"", ""start_span"": 92, ""end_span"": 107, ""type"": ""place""}, {""token"": ""Utsteinen Nunatak"", ""start_span"": 197, ""end_span"": 214, ""type"": ""place""}, {""token"": ""Dubois"", ""start_span"": 240, ""end_span"": 246, ""type"": ""place""}, {""token"": ""Petrelnuten"", ""start_span"": 254, ""end_span"": 265, ""type"": ""place""}]"	train
Materials and methods Study design and subjects This study was performed in healthy infants whose mothers delivered at the Research Institute of Tropical medicine associated clinic in Muntinlupa City, Philippines or Chris Hani Baragwanath Hospital in Johannesburg, South Africa between June 2012 and January 2013.	Muntinlupa City,184,199,place	Philippines,201,212,place	Johannesburg,251,263,place	South Africa,265,277,place	"[{""token"": ""Muntinlupa City"", ""start_span"": 184, ""end_span"": 199, ""type"": ""place""}, {""token"": ""Philippines"", ""start_span"": 201, ""end_span"": 212, ""type"": ""place""}, {""token"": ""Johannesburg"", ""start_span"": 251, ""end_span"": 263, ""type"": ""place""}, {""token"": ""South Africa"", ""start_span"": 265, ""end_span"": 277, ""type"": ""place""}]"	train
They have the highest nutrient load within the Osterseen Lake District, ranging from eutrophic ( Lake Waschsee and Schiffhttensee) to mesotrophic ( Lake Fohnsee).	Osterseen Lake District,47,70,place	Lake Waschsee,97,110,place	Schiffhttensee,115,129,place	Lake Fohnsee,148,160,place	"[{""token"": ""Osterseen Lake District"", ""start_span"": 47, ""end_span"": 70, ""type"": ""place""}, {""token"": ""Lake Waschsee"", ""start_span"": 97, ""end_span"": 110, ""type"": ""place""}, {""token"": ""Schiffhttensee"", ""start_span"": 115, ""end_span"": 129, ""type"": ""place""}, {""token"": ""Lake Fohnsee"", ""start_span"": 148, ""end_span"": 160, ""type"": ""place""}]"	train
Sediment from a freshwater bog ( Black Moshannon State Park, Philipsburg, PA, USA, 4054 20. 6N, 0780311. 1W, 20 cm water depth) was placed into glass bottles that were completely filled to minimize oxygen contamination, and then stored at 4C in the dark.	Black Moshannon State Park,33,59,place	Philipsburg,61,72,place	PA,74,76,place	USA,78,81,place	"[{""token"": ""Black Moshannon State Park"", ""start_span"": 33, ""end_span"": 59, ""type"": ""place""}, {""token"": ""Philipsburg"", ""start_span"": 61, ""end_span"": 72, ""type"": ""place""}, {""token"": ""PA"", ""start_span"": 74, ""end_span"": 76, ""type"": ""place""}, {""token"": ""USA"", ""start_span"": 78, ""end_span"": 81, ""type"": ""place""}]"	train
Phylogenetic analyzes of 16S rRNA sequence and conserved concatenated proteins suggested that two single cell amplified genomes SCGC - AB - 629 - P13 ( Mid - Altlantic Ocean, 553m depth) and SCGC - AAA240 - N13 ( Pacific Ocean, ALOHA station, Hawaii, 770m depth) also belonged to the SAR202 group and were included in all analyzes ( Supplementary Figs. 3 and 5).	Mid - Altlantic Ocean,152,173,place	Pacific Ocean,213,226,place	ALOHA station,228,241,place	Hawaii,243,249,place	"[{""token"": ""Mid - Altlantic Ocean"", ""start_span"": 152, ""end_span"": 173, ""type"": ""place""}, {""token"": ""Pacific Ocean"", ""start_span"": 213, ""end_span"": 226, ""type"": ""place""}, {""token"": ""ALOHA station"", ""start_span"": 228, ""end_span"": 241, ""type"": ""place""}, {""token"": ""Hawaii"", ""start_span"": 243, ""end_span"": 249, ""type"": ""place""}]"	train
We recruited in Thailand at Khun Chang Khian ( KCK), a rural Hmong village located one hour from Chiang Mai city, as well as from Mae La ( ML) Camp, a Burmese refugee camp in Tak province located on the Myanmar - Thailand border ( Figure S1).	Thailand,16,24,place	Chiang Mai city,97,112,place	Tak province,175,187,place	Myanmar - Thailand border,203,228,place	"[{""token"": ""Thailand"", ""start_span"": 16, ""end_span"": 24, ""type"": ""place""}, {""token"": ""Chiang Mai city"", ""start_span"": 97, ""end_span"": 112, ""type"": ""place""}, {""token"": ""Tak province"", ""start_span"": 175, ""end_span"": 187, ""type"": ""place""}, {""token"": ""Myanmar - Thailand border"", ""start_span"": 203, ""end_span"": 228, ""type"": ""place""}]"	train
