Sentence	entity_1	entity_2	entity_3	json	split
Materials & Methods Study site and experimental design The study was carried out near Aranjuez, in central Spain ( 4002N332W, 495 m altitude).	Aranjuez,86,94,place	central Spain,99,112,place	4002N332W,115,124,place	"[{""token"": ""Aranjuez"", ""start_span"": 86, ""end_span"": 94, ""type"": ""place""}, {""token"": ""central Spain"", ""start_span"": 99, ""end_span"": 112, ""type"": ""place""}, {""token"": ""4002N332W"", ""start_span"": 115, ""end_span"": 124, ""type"": ""place""}]"	test
To get an overview of the distribution of 16S rRNA reads assigned to Chloroflexi across the global ocean, in addition to the Mediterranean ( DCM and Deep), Caspian [ 32] and MALASPINA [ 36] datasets, we also used surface, DCM and mesopelagic datasets generated by the TARA expedition [ 37].	Mediterranean,125,138,place	Caspian,156,163,place	MALASPINA,174,183,place	"[{""token"": ""Mediterranean"", ""start_span"": 125, ""end_span"": 138, ""type"": ""place""}, {""token"": ""Caspian"", ""start_span"": 156, ""end_span"": 163, ""type"": ""place""}, {""token"": ""MALASPINA"", ""start_span"": 174, ""end_span"": 183, ""type"": ""place""}]"	test
Study on a Fermented Whole Wheat: Phenolic Content, Activity on PTP1B Enzyme and In Vitro Prebiotic Properties Fermented cereals, staple foods in Asia and Africa, are recently receiving a growing interest in Western countries.	Asia,146,150,place	Africa,155,161,place	Western countries,208,225,place	"[{""token"": ""Asia"", ""start_span"": 146, ""end_span"": 150, ""type"": ""place""}, {""token"": ""Africa"", ""start_span"": 155, ""end_span"": 161, ""type"": ""place""}, {""token"": ""Western countries"", ""start_span"": 208, ""end_span"": 225, ""type"": ""place""}]"	test
Materials and methods Breeding and genotyping Sirt3 knockout ( SIRT3KO) mice ( 129 / SvlmJ) were purchased from the Jackson Laboratory ( Stock Number 012755, Bar Harbor, ME, USA), and male APC min / + mice ( Adenomatous Polyposis Coli, C57BL / 6J) were obtained from the Model Animal Research Center of Nanjing University ( Nanjing, China).	Nanjing,303,310,place	Nanjing,324,331,place	China,333,338,place	"[{""token"": ""Nanjing"", ""start_span"": 303, ""end_span"": 310, ""type"": ""place""}, {""token"": ""Nanjing"", ""start_span"": 324, ""end_span"": 331, ""type"": ""place""}, {""token"": ""China"", ""start_span"": 333, ""end_span"": 338, ""type"": ""place""}]"	train
Materials and methods Study sites and sampling procedures For functional gene microarray analysis, surface sand samples were collected from two beaches in the southeast United States along the Gulf Coast in Alabama, and Florida as described in ( Newton et al., 2013).	southeast United States,159,182,place	Alabama,207,214,place	Florida,220,227,place	"[{""token"": ""southeast United States"", ""start_span"": 159, ""end_span"": 182, ""type"": ""place""}, {""token"": ""Alabama"", ""start_span"": 207, ""end_span"": 214, ""type"": ""place""}, {""token"": ""Florida"", ""start_span"": 220, ""end_span"": 227, ""type"": ""place""}]"	train
Metadata included the following: for Lake Baixio, temperature of 29. 3C, pH 6. 53, turbidity of 24. 63 nephelometric turbidity units ( NTU), dissolved oxygen ( DO) concentration of 2. 77mg / liter, and biological oxygen demand ( BOD) of 2. 82mg / liter; for Lake Preto, temperature of 27. 8C, pH 6. 2, turbidity of 16. 63 NTU, DO concentration of 1. 65mg / liter, and BOD of 1. 76mg / liter; and for Manacapuru Great Lake, temperature of 28. 8C, pH 6. 2, turbidity of 19. 43 NTU, DO concentration of 5. 6mg / liter, and BOD of 6. 1mg / liter.	Lake Baixio,37,48,place	Lake Preto,258,268,place	Manacapuru Great Lake,400,421,place	"[{""token"": ""Lake Baixio"", ""start_span"": 37, ""end_span"": 48, ""type"": ""place""}, {""token"": ""Lake Preto"", ""start_span"": 258, ""end_span"": 268, ""type"": ""place""}, {""token"": ""Manacapuru Great Lake"", ""start_span"": 400, ""end_span"": 421, ""type"": ""place""}]"	train
Station 6 is positioned near shore over the continental shelf while station 2 is roughly 450km directly west of station 6 in the open ocean.	Station 6,0,9,place	station 2,68,77,place	station 6,112,121,place	"[{""token"": ""Station 6"", ""start_span"": 0, ""end_span"": 9, ""type"": ""place""}, {""token"": ""station 2"", ""start_span"": 68, ""end_span"": 77, ""type"": ""place""}, {""token"": ""station 6"", ""start_span"": 112, ""end_span"": 121, ""type"": ""place""}]"	train
Inoculum and anaerobic medium The original microbial inoculum used in this experiment was collected from a full - scale continuously stirred tank reactor ( CSTR) ( Nordre Follo Wastewater Treatment Plant, Vinterbro, Norway) running with sewage sludge and food waste at thermophilic temperature ( ~ 62C).	Nordre Follo,164,176,place	Vinterbro,205,214,place	Norway,216,222,place	"[{""token"": ""Nordre Follo"", ""start_span"": 164, ""end_span"": 176, ""type"": ""place""}, {""token"": ""Vinterbro"", ""start_span"": 205, ""end_span"": 214, ""type"": ""place""}, {""token"": ""Norway"", ""start_span"": 216, ""end_span"": 222, ""type"": ""place""}]"	train
Two villages in Valle du Kou, VK5 ( 1123N; 424W), which is delimited by rice fields, and VK7 ( 1124N; 0424W) surrounded by savannah to the North and rice fields to the South, where An.	Valle du Kou,16,28,place	VK5,30,33,place	VK7,89,92,place	"[{""token"": ""Valle du Kou"", ""start_span"": 16, ""end_span"": 28, ""type"": ""place""}, {""token"": ""VK5"", ""start_span"": 30, ""end_span"": 33, ""type"": ""place""}, {""token"": ""VK7"", ""start_span"": 89, ""end_span"": 92, ""type"": ""place""}]"	train
We also obtained two female individuals of Neotoma lepida ( Neotoma is the sister genus of Peromyscus) captured from near White Rocks, Tooele County, Utah ( 4019N, 11254W).	White Rocks,122,133,place	Tooele County,135,148,place	Utah,150,154,place	"[{""token"": ""White Rocks"", ""start_span"": 122, ""end_span"": 133, ""type"": ""place""}, {""token"": ""Tooele County"", ""start_span"": 135, ""end_span"": 148, ""type"": ""place""}, {""token"": ""Utah"", ""start_span"": 150, ""end_span"": 154, ""type"": ""place""}]"	train
Sequencing yielded 144 million, 132 million, and 180 million paired - end reads of 2 100 bp for Lake Baixio, Lake Preto, and Manacapuru Great Lake, respectively.	Lake Baixio,96,107,place	Lake Preto,109,119,place	Manacapuru Great Lake,125,146,place	"[{""token"": ""Lake Baixio"", ""start_span"": 96, ""end_span"": 107, ""type"": ""place""}, {""token"": ""Lake Preto"", ""start_span"": 109, ""end_span"": 119, ""type"": ""place""}, {""token"": ""Manacapuru Great Lake"", ""start_span"": 125, ""end_span"": 146, ""type"": ""place""}]"	train
EXPERIMENTAL MODEL AND SUBJECT DETAILS Study setting, population, and recruitment Our inclusion criteria included individuals who were Hmong or Karen, female, at least 18 years old, and either were born and are currently living in Thailand, were born in Southeast Asia and moved to the U. S., or were born in the U. S. but whose parents were born in Southeast Asia.	Thailand,231,239,place	Southeast Asia,254,268,place	Southeast Asia,350,364,place	"[{""token"": ""Thailand"", ""start_span"": 231, ""end_span"": 239, ""type"": ""place""}, {""token"": ""Southeast Asia"", ""start_span"": 254, ""end_span"": 268, ""type"": ""place""}, {""token"": ""Southeast Asia"", ""start_span"": 350, ""end_span"": 364, ""type"": ""place""}]"	train
